epoch,step,test_loss,train_loss_epoch,val_loss
0,1,,,4.004820823669434
0,1,,3.994617462158203,
1,3,,,3.5054757595062256
1,3,,3.8397631645202637,
2,5,,,3.3652045726776123
2,5,,3.465791940689087,
3,7,,,3.343756914138794
3,7,,3.3632588386535645,
4,9,,,3.3604085445404053
4,9,,3.3628885746002197,
5,11,,,3.3453662395477295
5,11,,3.375152349472046,
6,13,,,3.3350565433502197
6,13,,3.357145309448242,
7,15,,,3.3381857872009277
7,15,,3.3452517986297607,
8,17,,,3.3429195880889893
8,17,,3.3457372188568115,
9,19,,,3.342601776123047
9,19,,3.3481075763702393,
10,21,,,3.338804244995117
10,21,,3.3475213050842285,
11,23,,,3.333670139312744
11,23,,3.345210552215576,
12,25,,,3.3299717903137207
12,25,,3.3416523933410645,
13,27,,,3.3275034427642822
13,27,,3.3394923210144043,
14,29,,,3.3261427879333496
14,29,,3.338059902191162,
15,31,,,3.3255457878112793
15,31,,3.3367574214935303,
16,33,,,3.3250887393951416
16,33,,3.3365395069122314,
17,35,,,3.324998378753662
17,35,,3.335980176925659,
18,37,,,3.324875831604004
18,37,,3.3356196880340576,
19,39,,,3.324857711791992
19,39,,3.3355982303619385,
20,40,3.324857711791992,,
