epoch,step,test_loss,train_loss_epoch,val_loss
0,1,,,4.477383136749268
0,1,,3.9812045097351074,
1,3,,,3.4262948036193848
1,3,,4.066888332366943,
2,5,,,3.345503330230713
2,5,,3.404650926589966,
3,7,,,3.369002342224121
3,7,,3.3627405166625977,
4,9,,,3.3522233963012695
4,9,,3.382847547531128,
5,11,,,3.333961248397827
5,11,,3.3621842861175537,
6,13,,,3.335200309753418
6,13,,3.3451554775238037,
7,15,,,3.3385426998138428
7,15,,3.344677448272705,
8,17,,,3.334695339202881
8,17,,3.345787525177002,
9,19,,,3.5366291999816895
9,19,,3.341432809829712,
10,21,,,3.326770305633545
10,21,,3.3927648067474365,
11,23,,,3.3269224166870117
11,23,,3.3380095958709717,
12,25,,,3.3260278701782227
12,25,,3.338158130645752,
13,27,,,3.325455665588379
13,27,,3.3371644020080566,
14,29,,,3.3252077102661133
14,29,,3.3371100425720215,
15,31,,,3.3250815868377686
15,31,,3.337244987487793,
16,33,,,3.3250033855438232
16,33,,3.3372511863708496,
17,35,,,3.3249263763427734
17,35,,3.336796283721924,
18,37,,,3.3249073028564453
18,37,,3.336919069290161,
19,39,,,3.324901580810547
19,39,,3.336671829223633,
20,40,3.324901580810547,,
