epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,10,,,,3.3656392097473145
0,10,,3.5399889945983887,,
1,21,,,,3.3298537731170654
1,21,,3.316175699234009,,
2,32,,,,3.3190152645111084
2,32,,3.302238702774048,,
3,43,,,,3.326199531555176
3,43,,3.4354007244110107,,
4,49,,,3.3011951446533203,
4,54,,,,3.3246846199035645
4,54,,3.302607536315918,,
5,65,,,,3.323841094970703
5,65,,3.3006606101989746,,
6,76,,,,3.323791742324829
6,76,,3.3001863956451416,,
7,87,,,,3.323484182357788
7,87,,3.2995662689208984,,
8,88,3.323484182357788,,,
