epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,7,,,,3.4051074981689453
0,7,,3.6761913299560547,,
1,15,,,,3.3523242473602295
1,15,,3.3221893310546875,,
2,23,,,,3.3194942474365234
2,23,,3.2977538108825684,,
3,31,,,,3.257974624633789
3,31,,3.27177357673645,,
4,39,,,,3.339205503463745
4,39,,3.2448272705078125,,
5,47,,,,3.321030616760254
5,47,,3.297053337097168,,
6,49,,,3.277784824371338,
6,55,,,,3.3034439086914062
6,55,,3.284909725189209,,
7,63,,,,3.2705235481262207
7,63,,3.2624130249023438,,
8,71,,,,3.223771095275879
8,71,,3.2248313426971436,,
9,79,,,,3.1710524559020996
9,79,,3.179084062576294,,
10,87,,,,3.105173110961914
10,87,,3.129009485244751,,
11,95,,,,3.032177686691284
11,95,,3.0603983402252197,,
12,99,,,3.0130398273468018,
12,103,,,,2.992413282394409
12,103,,3.010420322418213,,
13,111,,,,2.961289167404175
13,111,,2.9749929904937744,,
14,119,,,,2.936495780944824
14,119,,2.9496779441833496,,
15,127,,,,2.915769338607788
15,127,,2.928964376449585,,
16,135,,,,2.9028584957122803
16,135,,2.912540912628174,,
17,143,,,,2.895111322402954
17,143,,2.9019012451171875,,
18,149,,,2.8896007537841797,
18,151,,,,2.8915791511535645
18,151,,2.896627426147461,,
19,159,,,,2.890719413757324
19,159,,2.8943192958831787,,
20,160,2.890719413757324,,,
