epoch,step,test_loss,train_loss_epoch,val_loss
0,1,,,4.319667339324951
0,1,,4.0296196937561035,
1,3,,,3.427640676498413
1,3,,4.006484508514404,
2,5,,,3.372206926345825
2,5,,3.3490869998931885,
3,7,,,3.3867344856262207
3,7,,3.330166816711426,
4,9,,,3.345705032348633
4,9,,3.3290958404541016,
5,11,,,3.3405230045318604
5,11,,3.2963836193084717,
6,13,,,3.3469057083129883
6,13,,3.2929465770721436,
7,15,,,3.3466837406158447
7,15,,3.296664237976074,
8,17,,,3.337698459625244
8,17,,3.294670343399048,
9,19,,,3.3284311294555664
9,19,,3.286567449569702,
10,21,,,3.3231966495513916
10,21,,3.2794673442840576,
11,23,,,3.3207085132598877
11,23,,3.2761051654815674,
12,25,,,3.318718194961548
12,25,,3.274601459503174,
13,27,,,3.3158364295959473
13,27,,3.2727887630462646,
14,29,,,3.312069892883301
14,29,,3.2701776027679443,
15,31,,,3.3087759017944336
15,31,,3.2670705318450928,
16,33,,,3.3063762187957764
16,33,,3.264148235321045,
17,35,,,3.310393810272217
17,35,,3.262326240539551,
18,37,,,3.3091299533843994
18,37,,3.2613697052001953,
19,39,,,3.3095040321350098
19,39,,3.2608814239501953,
20,40,3.3095040321350098,,
