epoch,step,test_loss,train_loss_epoch,val_loss
0,1,,,4.537810325622559
0,1,,3.9668705463409424,
1,3,,,3.447960615158081
1,3,,4.1137590408325195,
2,5,,,3.3498988151550293
2,5,,3.370734691619873,
3,7,,,3.3790884017944336
3,7,,3.3033668994903564,
4,9,,,3.3714025020599365
4,9,,3.329258918762207,
5,11,,,3.341625213623047
5,11,,3.315160036087036,
6,13,,,3.3361434936523438
6,13,,3.290576934814453,
7,15,,,3.34126353263855
7,15,,3.2868239879608154,
8,17,,,3.341953754425049
8,17,,3.291813611984253,
9,19,,,3.336652994155884
9,19,,3.291195869445801,
10,21,,,3.3291702270507812
10,21,,3.2871711254119873,
11,23,,,3.3234446048736572
11,23,,3.2814114093780518,
12,25,,,3.3195786476135254
12,25,,3.276952028274536,
13,27,,,3.5380148887634277
13,27,,3.2735471725463867,
14,29,,,3.3192431926727295
14,29,,3.311509609222412,
15,31,,,3.3206770420074463
15,31,,3.2744333744049072,
16,33,,,3.3213255405426025
16,33,,3.2754786014556885,
17,35,,,3.321580648422241
17,35,,3.275580644607544,
18,37,,,3.3215484619140625
18,37,,3.2761473655700684,
19,39,,,3.321526288986206
19,39,,3.276508331298828,
20,40,3.321526288986206,,
