method,percent_removed,seed,best_val_acc,best_val_loss,test_acc
intrinsic_dimensionality_twonn,0,32,,3.319566249847412,
intrinsic_dimensionality_twonn,0,64,,2.446448802947998,
intrinsic_dimensionality_twonn,0,128,,2.4455153942108154,
intrinsic_dimensionality_twonn,10,32,,2.540959119796753,
intrinsic_dimensionality_twonn,10,64,,2.5096449851989746,
intrinsic_dimensionality_twonn,10,128,,2.527099132537842,
intrinsic_dimensionality_twonn,20,32,,3.316494464874268,
intrinsic_dimensionality_twonn,20,64,,2.7584118843078613,
intrinsic_dimensionality_twonn,20,128,,2.5239973068237305,
intrinsic_dimensionality_twonn,30,32,,3.3190152645111084,
intrinsic_dimensionality_twonn,30,64,,2.636230945587158,
intrinsic_dimensionality_twonn,30,128,,2.8078532218933105,
intrinsic_dimensionality_twonn,50,32,,3.320674419403076,
intrinsic_dimensionality_twonn,50,64,,3.0031216144561768,
intrinsic_dimensionality_twonn,50,128,,2.890719413757324,
intrinsic_dimensionality_twonn,70,32,,3.321065187454224,
intrinsic_dimensionality_twonn,70,64,,2.871523857116699,
intrinsic_dimensionality_twonn,70,128,,2.818532705307007,
intrinsic_dimensionality_twonn,90,32,,3.3258180618286133,
intrinsic_dimensionality_twonn,90,64,,3.319243192672729,
intrinsic_dimensionality_twonn,90,128,,3.3063762187957764,
