epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,15,,,,3.336829900741577
0,15,,3.4886515140533447,,
1,31,,,,3.3205294609069824
1,31,,3.3209426403045654,,
2,47,,,,3.325012445449829
2,47,,3.379477024078369,,
3,49,,,3.3053269386291504,
3,63,,,,3.3231041431427
3,63,,3.315533399581909,,
4,79,,,,3.3225598335266113
4,79,,3.3142292499542236,,
5,95,,,,3.322575569152832
5,95,,3.3136985301971436,,
6,99,,,3.314168930053711,
6,111,,,,3.3227548599243164
6,111,,3.3136491775512695,,
7,112,3.3227548599243164,,,
