epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,10,,,,3.3355026245117188
0,10,,3.6171631813049316,,
1,21,,,,3.3172214031219482
1,21,,3.32602858543396,,
2,32,,,,3.273789644241333
2,32,,3.2877137660980225,,
3,43,,,,3.0951099395751953
3,43,,3.1880311965942383,,
4,49,,,3.0610146522521973,
4,54,,,,3.0175058841705322
4,54,,3.056205987930298,,
5,65,,,,2.9611001014709473
5,65,,2.9936509132385254,,
6,76,,,,2.8862321376800537
6,76,,2.933777332305908,,
7,87,,,,2.7945218086242676
7,87,,2.8562753200531006,,
8,98,,,,2.737544059753418
8,98,,2.7849957942962646,,
9,99,,,2.760019063949585,
9,109,,,,2.693638324737549
9,109,,2.7366414070129395,,
10,120,,,,2.663795232772827
10,120,,2.7013790607452393,,
11,131,,,,2.639242649078369
11,131,,2.674818515777588,,
12,142,,,,2.622601270675659
12,142,,2.6534030437469482,,
13,149,,,2.6413021087646484,
13,153,,,,2.6086065769195557
13,153,,2.6374590396881104,,
14,164,,,,2.597468852996826
14,164,,2.6247642040252686,,
15,175,,,,2.591480255126953
15,175,,2.6154754161834717,,
16,186,,,,2.5870795249938965
16,186,,2.6099467277526855,,
17,197,,,,2.5846824645996094
17,197,,2.606595277786255,,
18,199,,,2.6036643981933594,
18,208,,,,2.582777738571167
18,208,,2.604567527770996,,
19,219,,,,2.5827906131744385
19,219,,2.603882312774658,,
20,220,2.5827906131744385,,,
