epoch,step,test_loss,train_loss_epoch,val_loss
0,1,,,5.162422180175781
0,1,,3.986980676651001,
1,3,,,3.5536718368530273
1,3,,4.595315456390381,
2,5,,,3.3659889698028564
2,5,,3.5613296031951904,
3,7,,,3.378061056137085
3,7,,3.4063026905059814,
4,9,,,3.405025005340576
4,9,,3.418736696243286,
5,11,,,3.3635456562042236
5,11,,3.4284141063690186,
6,13,,,3.3367929458618164
6,13,,3.3919432163238525,
7,15,,,3.3358705043792725
7,15,,3.375739812850952,
8,17,,,3.3404433727264404
8,17,,3.3797175884246826,
9,19,,,3.3405981063842773
9,19,,3.385486602783203,
10,21,,,3.3366405963897705
10,21,,3.384519577026367,
11,23,,,3.3322594165802
11,23,,3.3793811798095703,
12,25,,,3.3297317028045654
12,25,,3.3741865158081055,
13,27,,,3.328890323638916
13,27,,3.370814085006714,
14,29,,,3.3287997245788574
14,29,,3.369013786315918,
15,31,,,3.3287723064422607
15,31,,3.3685083389282227,
16,33,,,3.328580141067505
16,33,,3.368494987487793,
17,35,,,3.3283486366271973
17,35,,3.367750644683838,
18,37,,,3.328190803527832
18,37,,3.3677213191986084,
19,39,,,3.3281362056732178
19,39,,3.36759614944458,
20,40,3.3281362056732178,,
