method,percent_removed,seed,best_val_acc,best_val_loss,test_acc
llm_classifier,0,32,,3.3205294609069824,
llm_classifier,0,64,,2.4721808433532715,
llm_classifier,0,128,,2.4285085201263428,
llm_classifier,10,32,,3.275160789489746,
llm_classifier,10,64,,2.5880286693573,
llm_classifier,10,128,,2.5519206523895264,
llm_classifier,20,32,,3.321693181991577,
llm_classifier,20,64,,2.513064384460449,
llm_classifier,20,128,,2.519798994064331,
llm_classifier,30,32,,3.3216891288757324,
llm_classifier,30,64,,2.7954671382904053,
llm_classifier,30,128,,2.582777738571167,
llm_classifier,50,32,,3.320577621459961,
llm_classifier,50,64,,3.318459272384644,
llm_classifier,50,128,,2.719501495361328,
llm_classifier,70,32,,3.318204164505005,
llm_classifier,70,64,,3.3205065727233887,
llm_classifier,70,128,,3.0175938606262207,
llm_classifier,90,32,,3.333300828933716,
llm_classifier,90,64,,3.3281362056732178,
llm_classifier,90,128,,3.321335792541504,
