epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,15,,,,3.3401541709899902
0,15,,3.5146701335906982,,
1,31,,,,3.320091962814331
1,31,,3.32016658782959,,
2,47,,,,3.277104139328003
2,47,,3.303212881088257,,
3,49,,,3.2557427883148193,
3,63,,,,3.1423985958099365
3,63,,3.2016637325286865,,
4,79,,,,3.010734796524048
4,79,,3.0840632915496826,,
5,95,,,,2.9509198665618896
5,95,,2.9850211143493652,,
6,99,,,2.935948610305786,
6,111,,,,2.8399434089660645
6,111,,2.9174039363861084,,
7,127,,,,2.7069242000579834
7,127,,2.7869632244110107,,
8,143,,,,2.6443605422973633
8,143,,2.697321891784668,,
9,149,,,2.645167827606201,
9,159,,,,2.6000442504882812
9,159,,2.6429519653320312,,
10,175,,,,2.566404342651367
10,175,,2.604112386703491,,
11,191,,,,2.5425479412078857
11,191,,2.5754005908966064,,
12,199,,,2.5570311546325684,
12,207,,,,2.525959014892578
12,207,,2.555053472518921,,
13,223,,,,2.512667655944824
13,223,,2.5399184226989746,,
14,239,,,,2.5029196739196777
14,239,,2.5286366939544678,,
15,249,,,2.5218448638916016,
15,255,,,,2.496086359024048
15,255,,2.520643472671509,,
16,271,,,,2.4921376705169678
16,271,,2.515242576599121,,
17,287,,,,2.48857045173645
17,287,,2.5119822025299072,,
18,299,,,2.5046262741088867,
18,303,,,,2.487337112426758
18,303,,2.5104215145111084,,
19,319,,,,2.487745761871338
19,319,,2.509371280670166,,
20,320,2.487745761871338,,,
