epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,10,,,,3.360841989517212
0,10,,3.576077699661255,,
1,21,,,,3.328697681427002
1,21,,3.3566102981567383,,
2,32,,,,3.318309783935547
2,32,,3.3439812660217285,,
3,43,,,,3.316680669784546
3,43,,3.337204694747925,,
4,49,,,3.337615966796875,
4,54,,,,3.283478260040283
4,54,,3.327188730239868,,
5,65,,,,3.182940721511841
5,65,,3.271777629852295,,
6,76,,,,3.1378493309020996
6,76,,3.1845314502716064,,
7,87,,,,3.060459852218628
7,87,,3.1384854316711426,,
8,98,,,,3.0008652210235596
8,98,,3.0633833408355713,,
9,99,,,3.0360448360443115,
9,109,,,,2.9290378093719482
9,109,,3.0068860054016113,,
10,120,,,,2.868431568145752
10,120,,2.9429430961608887,,
11,131,,,,2.818375587463379
11,131,,2.892331123352051,,
12,142,,,,2.7808384895324707
12,142,,2.8508307933807373,,
13,149,,,2.8198413848876953,
13,153,,,,2.7515969276428223
13,153,,2.8173234462738037,,
14,164,,,,2.726490020751953
14,164,,2.790841817855835,,
15,175,,,,2.708958864212036
15,175,,2.769432783126831,,
16,186,,,,2.6980414390563965
16,186,,2.7551050186157227,,
17,197,,,,2.6915042400360107
17,197,,2.7456250190734863,,
18,199,,,2.7469966411590576,
18,208,,,,2.688528299331665
18,208,,2.7411041259765625,,
19,219,,,,2.687824010848999
19,219,,2.7390360832214355,,
20,220,2.687824010848999,,,
