epoch,step,test_loss,train_loss_epoch,val_loss
0,1,,,4.03500509262085
0,1,,4.0442352294921875,
1,3,,,3.509970188140869
1,3,,3.9511406421661377,
2,5,,,3.3705661296844482
2,5,,3.5697898864746094,
3,7,,,3.346004009246826
3,7,,3.456982135772705,
4,9,,,3.3674204349517822
4,9,,3.445960283279419,
5,11,,,3.3533122539520264
5,11,,3.46262264251709,
6,13,,,3.3333706855773926
6,13,,3.448864698410034,
7,15,,,3.329026699066162
7,15,,3.4329605102539062,
8,17,,,3.3332369327545166
8,17,,3.429318904876709,
9,19,,,3.3381123542785645
9,19,,3.431279182434082,
10,21,,,3.339433193206787
10,21,,3.432889938354492,
11,23,,,3.3380672931671143
11,23,,3.4319369792938232,
12,25,,,3.3355870246887207
12,25,,3.429900646209717,
13,26,3.3355870246887207,,
