epoch,step,test_loss,train_loss_epoch,val_loss
0,1,,,5.338927745819092
0,1,,4.008090972900391,
1,3,,,3.6441004276275635
1,3,,4.736565589904785,
2,5,,,3.3947830200195312
2,5,,3.6692512035369873,
3,7,,,3.374925136566162
3,7,,3.4734277725219727,
4,9,,,3.4061598777770996
4,9,,3.4736220836639404,
5,11,,,3.361276865005493
5,11,,3.4892990589141846,
6,13,,,3.333162546157837
6,13,,3.4494869709014893,
7,15,,,3.334246873855591
7,15,,3.4306821823120117,
8,17,,,3.3401479721069336
8,17,,3.434939384460449,
9,19,,,3.340494155883789
9,19,,3.440873622894287,
10,21,,,3.336010694503784
10,21,,3.439937114715576,
11,23,,,3.3307383060455322
11,23,,3.434453010559082,
12,25,,,3.3270602226257324
12,25,,3.428405523300171,
13,27,,,3.325162172317505
13,27,,3.424619197845459,
14,29,,,3.3241400718688965
14,29,,3.4222865104675293,
15,31,,,3.3234243392944336
15,31,,3.421189785003662,
16,33,,,3.3228299617767334
16,33,,3.4204225540161133,
17,35,,,3.3223695755004883
17,35,,3.419571876525879,
18,37,,,3.322096586227417
18,37,,3.419670820236206,
19,39,,,3.3220179080963135
19,39,,3.4193339347839355,
20,40,3.3220179080963135,,
