method,percent_removed,seed,best_val_acc,best_val_loss,test_acc
perplexity_filtering,0,32,,3.3206000328063965,
perplexity_filtering,0,64,,2.487337112426758,
perplexity_filtering,0,128,,2.4847567081451416,
perplexity_filtering,10,32,,3.3189938068389893,
perplexity_filtering,10,64,,2.525541305541992,
perplexity_filtering,10,128,,2.565347671508789,
perplexity_filtering,20,32,,3.3205177783966064,
perplexity_filtering,20,64,,2.830671548843384,
perplexity_filtering,20,128,,2.535361051559448,
perplexity_filtering,30,32,,2.687824010848999,
perplexity_filtering,30,64,,2.765315055847168,
perplexity_filtering,30,128,,2.788338422775269,
perplexity_filtering,50,32,,3.321978807449341,
perplexity_filtering,50,64,,3.281096935272217,
perplexity_filtering,50,128,,2.665522575378418,
perplexity_filtering,70,32,,3.319028854370117,
perplexity_filtering,70,64,,3.2783355712890625,
perplexity_filtering,70,128,,2.915010452270508,
perplexity_filtering,90,32,,3.329026699066162,
perplexity_filtering,90,64,,3.322017908096313,
perplexity_filtering,90,128,,3.3047690391540527,
