epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,13,,,,3.3294665813446045
0,13,,3.5554518699645996,,
1,27,,,,3.3301968574523926
1,27,,3.3230395317077637,,
2,41,,,,3.319720983505249
2,41,,3.315641403198242,,
3,49,,,3.290703296661377,
3,55,,,,3.282392740249634
3,55,,3.304084300994873,,
4,69,,,,3.135399103164673
4,69,,3.20729398727417,,
5,83,,,,3.003403425216675
5,83,,3.0749144554138184,,
6,97,,,,2.9283347129821777
6,97,,2.973398447036743,,
7,99,,,2.9234719276428223,
7,111,,,,2.7920327186584473
7,111,,2.8779425621032715,,
8,125,,,,2.699357032775879
8,125,,2.768352508544922,,
9,139,,,,2.6409268379211426
9,139,,2.693356513977051,,
10,149,,,2.631777286529541,
10,153,,,,2.6022510528564453
10,153,,2.644110918045044,,
11,167,,,,2.5781166553497314
11,167,,2.611560106277466,,
12,181,,,,2.56070613861084
12,181,,2.5910189151763916,,
13,195,,,,2.5469253063201904
13,195,,2.5743916034698486,,
14,199,,,2.5655479431152344,
14,209,,,,2.5356674194335938
14,209,,2.5619471073150635,,
15,223,,,,2.5284647941589355
15,223,,2.5532877445220947,,
16,237,,,,2.5237410068511963
16,237,,2.5459775924682617,,
17,249,,,2.5327882766723633,
17,251,,,,2.5205495357513428
17,251,,2.542466640472412,,
18,265,,,,2.518667459487915
18,265,,2.539567470550537,,
19,279,,,,2.518223285675049
19,279,,2.538468360900879,,
20,280,2.518223285675049,,,
