epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,10,,,,3.3443603515625
0,10,,3.5661752223968506,,
1,21,,,,3.3212480545043945
1,21,,3.3301005363464355,,
2,32,,,,3.319955587387085
2,32,,3.3148038387298584,,
3,43,,,,3.311128616333008
3,43,,3.3094987869262695,,
4,49,,,3.277838945388794,
4,54,,,,3.265077590942383
4,54,,3.2916347980499268,,
5,65,,,,3.161123514175415
5,65,,3.202805757522583,,
6,76,,,,3.0966150760650635
6,76,,3.1274476051330566,,
7,87,,,,3.013169527053833
7,87,,3.064157485961914,,
8,98,,,,2.978264570236206
8,98,,2.99796986579895,,
9,99,,,2.9809508323669434,
9,109,,,,2.945878505706787
9,109,,2.9652457237243652,,
10,120,,,,2.9168689250946045
10,120,,2.935817241668701,,
11,131,,,,2.892686605453491
11,131,,2.909580707550049,,
12,142,,,,2.865466356277466
12,142,,2.8871922492980957,,
13,149,,,2.853966236114502,
13,153,,,,2.838092803955078
13,153,,2.8606884479522705,,
14,164,,,,2.814384698867798
14,164,,2.838864803314209,,
15,175,,,,2.7913479804992676
15,175,,2.8172225952148438,,
16,186,,,,2.773127555847168
16,186,,2.79830002784729,,
17,197,,,,2.7602410316467285
17,197,,2.7839136123657227,,
18,199,,,2.7847023010253906,
18,208,,,,2.7554352283477783
18,208,,2.7752649784088135,,
19,219,,,,2.7535128593444824
19,219,,2.7726027965545654,,
20,220,2.7535128593444824,,,
