epoch,step,test_loss,train_loss_epoch,val_loss
0,1,,,3.997267007827759
0,1,,4.0017900466918945,
1,3,,,3.4875969886779785
1,3,,3.863670587539673,
2,5,,,3.3569772243499756
2,5,,3.4612128734588623,
3,7,,,3.3447980880737305
3,7,,3.351794481277466,
4,9,,,3.3680357933044434
4,9,,3.348385810852051,
5,11,,,3.3525168895721436
5,11,,3.362349271774292,
6,13,,,3.3351030349731445
6,13,,3.346189260482788,
7,15,,,3.3321239948272705
7,15,,3.332836627960205,
8,17,,,3.3337104320526123
8,17,,3.3315441608428955,
9,19,,,3.3337862491607666
9,19,,3.3335111141204834,
10,21,,,3.331286907196045
10,21,,3.333099603652954,
11,23,,,3.3284080028533936
11,23,,3.3308072090148926,
12,25,,,3.325505256652832
12,25,,3.3278496265411377,
13,27,,,3.323772430419922
13,27,,3.325651168823242,
14,29,,,3.322873830795288
14,29,,3.324075222015381,
15,31,,,3.3225975036621094
15,31,,3.323432207107544,
16,33,,,3.322404623031616
16,33,,3.322964668273926,
17,35,,,3.322218894958496
17,35,,3.3229565620422363,
18,37,,,3.3220627307891846
18,37,,3.3227694034576416,
19,39,,,3.3220365047454834
19,39,,3.3223893642425537,
20,40,3.3220365047454834,,
