method,percent_removed,seed,best_val_acc,best_val_loss,test_acc
random,0,32,,2.4801414012908936,
random,0,64,,2.6265790462493896,
random,0,128,,2.449669122695923,
random,10,32,,3.142704725265503,
random,10,64,,2.518223285675049,
random,10,128,,2.4825146198272705,
random,20,32,,2.789989471435547,
random,20,64,,2.594199657440185,
random,20,128,,2.49882435798645,
random,30,32,,3.3204171657562256,
random,30,64,,2.7535128593444824,
random,30,128,,2.552367687225342,
random,50,32,,3.320187568664551,
random,50,64,,3.106584310531616,
random,50,128,,2.611456632614136,
random,70,32,,3.28649640083313,
random,70,64,,3.0884358882904053,
random,70,128,,2.9809536933898926,
random,90,32,,3.3220365047454834,
random,90,64,,3.3147144317626958,
random,90,128,,3.303804636001587,
