epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,12,,,,3.3366496562957764
0,12,,3.5896265506744385,,
1,25,,,,3.336886405944824
1,25,,3.3319787979125977,,
2,38,,,,3.2237281799316406
2,38,,3.2928946018218994,,
3,49,,,3.0939784049987793,
3,51,,,,3.0441315174102783
3,51,,3.157111167907715,,
4,64,,,,2.977125883102417
4,64,,3.0278031826019287,,
5,77,,,,2.922781467437744
5,77,,2.9589624404907227,,
6,90,,,,2.884629964828491
6,90,,2.9158427715301514,,
7,99,,,2.8623342514038086,
7,103,,,,2.8090364933013916
7,103,,2.8682737350463867,,
8,116,,,,2.7146360874176025
8,116,,2.7878944873809814,,
9,129,,,,2.6666460037231445
9,129,,2.7151925563812256,,
10,142,,,,2.636322259902954
10,142,,2.6767659187316895,,
11,149,,,2.6358156204223633,
11,155,,,,2.6041219234466553
11,155,,2.647211790084839,,
12,168,,,,2.5818498134613037
12,168,,2.6212117671966553,,
13,181,,,,2.5669498443603516
13,181,,2.601107358932495,,
14,194,,,,2.5543482303619385
14,194,,2.5885801315307617,,
15,199,,,2.5668396949768066,
15,207,,,,2.5475900173187256
15,207,,2.5777926445007324,,
16,220,,,,2.5419604778289795
16,220,,2.570981979370117,,
17,233,,,,2.5385055541992188
17,233,,2.567025899887085,,
18,246,,,,2.537562131881714
18,246,,2.564856767654419,,
19,249,,,2.5628209114074707,
19,259,,,,2.5372724533081055
19,259,,2.5635814666748047,,
20,260,2.5372724533081055,,,
