epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,10,,,,3.358010768890381
0,10,,3.6244709491729736,,
1,21,,,,3.319700002670288
1,21,,3.3481061458587646,,
2,32,,,,3.322514057159424
2,32,,3.3376927375793457,,
3,43,,,,3.319546937942505
3,43,,3.3335375785827637,,
4,49,,,3.3235888481140137,
4,54,,,,3.305248975753784
4,54,,3.3274850845336914,,
5,65,,,,3.2234792709350586
5,65,,3.2941532135009766,,
6,76,,,,3.100390672683716
6,76,,3.1819798946380615,,
7,87,,,,3.0039560794830322
7,87,,3.0674450397491455,,
8,98,,,,2.9536898136138916
8,98,,2.9960665702819824,,
9,99,,,2.9663517475128174,
9,109,,,,2.8650453090667725
9,109,,2.937725782394409,,
10,120,,,,2.7931976318359375
10,120,,2.8589437007904053,,
11,131,,,,2.7264821529388428
11,131,,2.792750358581543,,
12,142,,,,2.6773366928100586
12,142,,2.735356569290161,,
13,149,,,2.684431552886963,
13,153,,,,2.6479172706604004
13,153,,2.6959176063537598,,
14,164,,,,2.6273610591888428
14,164,,2.669787883758545,,
15,175,,,,2.6138052940368652
15,175,,2.6526496410369873,,
16,186,,,,2.606898069381714
16,186,,2.6431918144226074,,
17,197,,,,2.6020259857177734
17,197,,2.636242151260376,,
18,199,,,2.6345767974853516,
18,208,,,,2.600189685821533
18,208,,2.633472204208374,,
19,219,,,,2.599680185317993
19,219,,2.631687879562378,,
20,220,2.599680185317993,,,
