epoch,step,test_loss,train_loss_epoch,val_loss
0,1,,,5.345646381378174
0,1,,3.9920151233673096,
1,3,,,3.610572338104248
1,3,,4.695714473724365,
2,5,,,3.3893797397613525
2,5,,3.612914800643921,
3,7,,,3.382323741912842
3,7,,3.4448349475860596,
4,9,,,3.400129556655884
4,9,,3.4529976844787598,
5,11,,,3.3616902828216553
5,11,,3.4591658115386963,
6,13,,,3.3356621265411377
6,13,,3.4221723079681396,
7,15,,,3.3341727256774902
7,15,,3.401550769805908,
8,17,,,3.3400373458862305
8,17,,3.4015045166015625,
9,19,,,3.341657876968384
9,19,,3.4073615074157715,
10,21,,,3.337294816970825
10,21,,3.4072389602661133,
11,23,,,3.3301777839660645
11,23,,3.401540994644165,
12,25,,,3.3229918479919434
12,25,,3.394381284713745,
13,27,,,3.317220449447632
13,27,,3.386592388153076,
14,29,,,3.3443100452423096
14,29,,3.380967140197754,
15,31,,,3.3115291595458984
15,31,,3.3811774253845215,
16,33,,,3.3106324672698975
16,33,,3.3756251335144043,
17,35,,,3.309860944747925
17,35,,3.374669075012207,
18,37,,,3.309317111968994
18,37,,3.3747711181640625,
19,39,,,3.3091354370117188
19,39,,3.3741390705108643,
20,40,3.3091354370117188,,
