method,percent_removed,seed,best_val_acc,best_val_loss,test_acc
semantic_dedup,0,32,,2.5050032138824463,
semantic_dedup,0,64,,2.597676992416382,
semantic_dedup,0,128,,2.4534499645233154,
semantic_dedup,10,32,,3.265260934829712,
semantic_dedup,10,64,,2.7626941204071045,
semantic_dedup,10,128,,2.5494954586029053,
semantic_dedup,20,32,,2.591160535812378,
semantic_dedup,20,64,,2.684596300125122,
semantic_dedup,20,128,,2.537272453308105,
semantic_dedup,30,32,,3.313345432281494,
semantic_dedup,30,64,,2.599680185317993,
semantic_dedup,30,128,,2.841398239135742,
semantic_dedup,50,32,,3.316438913345337,
semantic_dedup,50,64,,3.3124043941497803,
semantic_dedup,50,128,,2.619080066680908,
semantic_dedup,70,32,,3.323301315307617,
semantic_dedup,70,64,,3.320821046829224,
semantic_dedup,70,128,,2.7307162284851074,
semantic_dedup,90,32,,3.333404064178467,
semantic_dedup,90,64,,3.3091354370117188,
semantic_dedup,90,128,,3.3411128520965576,
