sample_id,label,score,rank,method
2145,43,2.4941389560699463,0,llm_classifier
4205,5,2.55192232131958,1,llm_classifier
3002,63,2.559964179992676,2,llm_classifier
3538,41,2.56044864654541,3,llm_classifier
2341,1,2.5621886253356934,4,llm_classifier
3023,53,2.5644772052764893,5,llm_classifier
2155,43,2.5652174949645996,6,llm_classifier
2990,45,2.566002368927002,7,llm_classifier
1752,58,2.566427707672119,8,llm_classifier
3539,26,2.5669732093811035,9,llm_classifier
1201,58,2.568085193634033,10,llm_classifier
2218,56,2.57142972946167,11,llm_classifier
2970,1,2.5716114044189453,12,llm_classifier
2002,57,2.574352741241455,13,llm_classifier
2996,21,2.5789601802825928,14,llm_classifier
4036,47,2.5806095600128174,15,llm_classifier
7,43,2.5812597274780273,16,llm_classifier
1560,59,2.581465005874634,17,llm_classifier
1948,44,2.5816094875335693,18,llm_classifier
4101,57,2.5825772285461426,19,llm_classifier
4097,1,2.583052158355713,20,llm_classifier
2331,39,2.5831308364868164,21,llm_classifier
349,31,2.5841357707977295,22,llm_classifier
1734,46,2.5850136280059814,23,llm_classifier
2332,58,2.5851340293884277,24,llm_classifier
2041,45,2.585237979888916,25,llm_classifier
2710,47,2.5852627754211426,26,llm_classifier
4073,50,2.58583927154541,27,llm_classifier
2769,58,2.5868844985961914,28,llm_classifier
4206,63,2.5872223377227783,29,llm_classifier
1825,39,2.5880229473114014,30,llm_classifier
847,1,2.5886318683624268,31,llm_classifier
749,53,2.5890681743621826,32,llm_classifier
2147,1,2.5901548862457275,33,llm_classifier
1094,1,2.5904831886291504,34,llm_classifier
1984,44,2.590514659881592,35,llm_classifier
445,57,2.591055393218994,36,llm_classifier
2199,52,2.5911097526550293,37,llm_classifier
19,1,2.591123104095459,38,llm_classifier
1820,53,2.591593027114868,39,llm_classifier
3439,46,2.592400074005127,40,llm_classifier
1596,60,2.5928549766540527,41,llm_classifier
2078,53,2.5935189723968506,42,llm_classifier
4030,58,2.593700885772705,43,llm_classifier
273,1,2.5938892364501953,44,llm_classifier
86,47,2.5944221019744873,45,llm_classifier
3097,1,2.5944576263427734,46,llm_classifier
36,10,2.5946547985076904,47,llm_classifier
1999,43,2.5948596000671387,48,llm_classifier
1945,39,2.594956874847412,49,llm_classifier
417,1,2.595330238342285,50,llm_classifier
3031,54,2.5954012870788574,51,llm_classifier
3033,58,2.5956082344055176,52,llm_classifier
76,1,2.5958852767944336,53,llm_classifier
1835,6,2.5960822105407715,54,llm_classifier
1842,58,2.596083164215088,55,llm_classifier
3837,21,2.596214532852173,56,llm_classifier
3313,43,2.5963096618652344,57,llm_classifier
3532,59,2.596436023712158,58,llm_classifier
2303,1,2.596569538116455,59,llm_classifier
2193,59,2.596813201904297,60,llm_classifier
1273,43,2.597409725189209,61,llm_classifier
1294,58,2.59755277633667,62,llm_classifier
80,1,2.597975492477417,63,llm_classifier
2446,52,2.5980544090270996,64,llm_classifier
790,5,2.5981178283691406,65,llm_classifier
2144,46,2.598130941390991,66,llm_classifier
438,47,2.5984888076782227,67,llm_classifier
4024,63,2.5991435050964355,68,llm_classifier
164,47,2.5994675159454346,69,llm_classifier
2791,56,2.5994925498962402,70,llm_classifier
2237,13,2.6001596450805664,71,llm_classifier
3148,56,2.6002378463745117,72,llm_classifier
3379,1,2.600243091583252,73,llm_classifier
2752,57,2.6005680561065674,74,llm_classifier
4011,59,2.600571632385254,75,llm_classifier
3384,43,2.6006908416748047,76,llm_classifier
2201,1,2.6010870933532715,77,llm_classifier
2919,51,2.601118564605713,78,llm_classifier
