epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,12,,,,3.3374245166778564
0,12,,3.5494706630706787,,
1,25,,,,3.325247049331665
1,25,,3.3469831943511963,,
2,38,,,,3.3311734199523926
2,38,,3.402872085571289,,
3,49,,,3.338019609451294,
3,51,,,,3.325214385986328
3,51,,3.3400838375091553,,
4,64,,,,3.3226144313812256
4,64,,3.337493419647217,,
5,77,,,,3.322751998901367
5,77,,3.336796760559082,,
6,90,,,,3.322397232055664
6,90,,3.336538791656494,,
7,99,,,3.3300974369049072,
7,103,,,,3.3218212127685547
7,103,,3.3359124660491943,,
8,116,,,,3.321359872817993
8,116,,3.3357279300689697,,
9,129,,,,3.3209762573242188
9,129,,3.3353519439697266,,
10,142,,,,3.320183753967285
10,142,,3.33490252494812,,
11,149,,,3.341897487640381,
11,155,,,,3.3189456462860107
11,155,,3.3340373039245605,,
12,168,,,,3.317189931869507
12,168,,3.3327229022979736,,
13,181,,,,3.3145010471343994
13,181,,3.330826759338379,,
14,194,,,,3.310469150543213
14,194,,3.327946662902832,,
15,199,,,3.338822364807129,
15,207,,,,3.3053479194641113
15,207,,3.3239896297454834,,
16,220,,,,3.299797773361206
16,220,,3.3191349506378174,,
17,233,,,,3.2951536178588867
17,233,,3.314215898513794,,
18,246,,,,3.292421340942383
18,246,,3.3107357025146484,,
19,249,,,3.3321924209594727,
19,259,,,,3.2916369438171387
19,259,,3.3089425563812256,,
20,260,3.2916369438171387,,,
