epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,10,,,,3.358083486557007
0,10,,3.634359359741211,,
1,21,,,,3.3190653324127197
1,21,,3.3611743450164795,,
2,32,,,,3.3233184814453125
2,32,,3.374171018600464,,
3,43,,,,3.3237316608428955
3,43,,3.3489267826080322,,
4,49,,,3.3458685874938965,
4,54,,,,3.322115898132324
4,54,,3.3476977348327637,,
5,65,,,,3.3215551376342773
5,65,,3.34696364402771,,
6,76,,,,3.320788860321045
6,76,,3.346402168273926,,
7,77,3.320788860321045,,,
