epoch,step,test_loss,train_loss_epoch,val_loss
0,1,,,4.019021987915039
0,1,,4.037765979766846,
1,3,,,3.532360553741455
1,3,,3.9305498600006104,
2,5,,,3.382249593734741
2,5,,3.5814805030822754,
3,7,,,3.348090887069702
3,7,,3.4685792922973633,
4,9,,,3.368541717529297
4,9,,3.4580671787261963,
5,11,,,3.356729030609131
5,11,,3.4754467010498047,
6,13,,,3.3406689167022705
6,13,,3.4600136280059814,
7,15,,,3.341050863265991
7,15,,3.445070266723633,
8,17,,,3.3477718830108643
8,17,,3.442203998565674,
9,19,,,3.352069854736328
9,19,,3.445052146911621,
10,21,,,3.352088212966919
10,21,,3.4459383487701416,
11,23,,,3.3486435413360596
11,23,,3.444326639175415,
12,24,3.3486435413360596,,
