epoch,step,test_loss,train_loss_epoch,val_loss
0,1,,,5.377063751220703
0,1,,3.998770236968994,
1,3,,,3.6196131706237793
1,3,,4.74296760559082,
2,5,,,3.3962085247039795
2,5,,3.6627793312072754,
3,7,,,3.4190287590026855
3,7,,3.489380121231079,
4,9,,,3.4223620891571045
4,9,,3.5075278282165527,
5,11,,,3.3773293495178223
5,11,,3.4988338947296143,
6,13,,,3.3339061737060547
6,13,,3.459635019302368,
7,15,,,3.306002616882324
7,15,,3.415379285812378,
8,17,,,3.282686233520508
8,17,,3.387030839920044,
9,19,,,3.280487537384033
9,19,,3.3584864139556885,
10,21,,,3.2661936283111572
10,21,,3.3467636108398438,
11,23,,,3.250884771347046
11,23,,3.3308658599853516,
12,25,,,3.2431910037994385
12,25,,3.3214714527130127,
13,27,,,3.238457441329956
13,27,,3.312215805053711,
14,29,,,3.2360072135925293
14,29,,3.3035552501678467,
15,31,,,3.234549045562744
15,31,,3.2974724769592285,
16,33,,,3.2338924407958984
16,33,,3.294477701187134,
17,35,,,3.2334794998168945
17,35,,3.291965961456299,
18,37,,,3.2332212924957275
18,37,,3.2911717891693115,
19,39,,,3.2331368923187256
19,39,,3.2892463207244873,
20,40,3.2331368923187256,,
