epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,10,,,,3.3693606853485107
0,10,,3.516486883163452,,
1,21,,,,3.3308491706848145
1,21,,3.289053201675415,,
2,32,,,,3.322253704071045
2,32,,3.2754335403442383,,
3,43,,,,3.326572895050049
3,43,,3.2719967365264893,,
4,49,,,3.274561882019043,
4,54,,,,3.3279449939727783
4,54,,3.2726833820343018,,
5,65,,,,3.3248021602630615
5,65,,3.2717742919921875,,
6,76,,,,3.3207783699035645
6,76,,3.2697205543518066,,
7,87,,,,3.306178331375122
7,87,,3.2636842727661133,,
8,98,,,,3.2433643341064453
8,98,,3.2333009243011475,,
9,99,,,3.2099225521087646,
9,109,,,,3.1622281074523926
9,109,,3.150041103363037,,
10,120,,,,3.0980470180511475
10,120,,3.0869109630584717,,
11,131,,,,3.008681058883667
11,131,,3.0277628898620605,,
12,142,,,,2.9360363483428955
12,142,,2.9467880725860596,,
13,149,,,2.9084560871124268,
13,153,,,,2.9041342735290527
13,153,,2.9012973308563232,,
14,164,,,,2.8797123432159424
14,164,,2.8735032081604004,,
15,175,,,,2.8651254177093506
15,175,,2.8550846576690674,,
16,186,,,,2.855059862136841
16,186,,2.842623472213745,,
17,197,,,,2.849071502685547
17,197,,2.8353216648101807,,
18,199,,,2.8293731212615967,
18,208,,,,2.846148729324341
18,208,,2.8313205242156982,,
19,219,,,,2.8456547260284424
19,219,,2.8292839527130127,,
20,220,2.8456547260284424,,,
