epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,4,,,,3.41288685798645
0,4,,3.7282156944274902,,
1,9,,,,3.4065041542053223
1,9,,3.247189998626709,,
2,14,,,,3.377932548522949
2,14,,3.235706329345703,,
3,19,,,,3.3596878051757812
3,19,,3.226752281188965,,
4,24,,,,3.3444344997406006
4,24,,3.217957019805908,,
5,29,,,,3.3446972370147705
5,29,,3.2133731842041016,,
6,34,,,,3.6525719165802
6,34,,3.2073819637298584,,
7,39,,,,3.3442206382751465
7,39,,3.207350492477417,,
8,44,,,,3.340289831161499
8,44,,3.2096173763275146,,
9,49,,,3.2148923873901367,
9,49,,,,3.3409204483032227
9,49,,3.209062337875366,,
10,54,,,,3.340101718902588
10,54,,3.2083635330200195,,
11,59,,,,3.338463306427002
11,59,,3.2070469856262207,,
12,64,,,,3.3357315063476562
12,64,,3.2053167819976807,,
13,69,,,,3.3323733806610107
13,69,,3.2027482986450195,,
14,74,,,,3.328275203704834
14,74,,3.199279546737671,,
15,79,,,,3.3241591453552246
15,79,,3.1953859329223633,,
16,84,,,,3.320800304412842
16,84,,3.1917436122894287,,
17,89,,,,3.3183717727661133
17,89,,3.188633441925049,,
18,94,,,,3.3171892166137695
18,94,,3.1869943141937256,,
19,99,,,3.1808369159698486,
19,99,,,,3.316866874694824
19,99,,3.186241865158081,,
20,100,3.316866874694824,,,
