epoch,step,test_loss,train_loss_epoch,val_loss
0,1,,,4.123444080352783
0,1,,4.004209518432617,
1,3,,,3.3991339206695557
1,3,,3.756002426147461,
2,5,,,3.411992311477661
2,5,,3.205916166305542,
3,7,,,3.40053129196167
3,7,,3.214304208755493,
4,9,,,3.392604112625122
4,9,,3.1900808811187744,
5,11,,,3.400885581970215
5,11,,3.1757774353027344,
6,13,,,3.4033777713775635
6,13,,3.1767489910125732,
7,15,,,3.397296190261841
7,15,,3.1755552291870117,
8,17,,,3.3885509967803955
8,17,,3.1703221797943115,
9,19,,,3.3829469680786133
9,19,,3.164947271347046,
10,21,,,3.378037214279175
10,21,,3.1627986431121826,
11,23,,,3.373361110687256
11,23,,3.159130573272705,
12,25,,,3.36934232711792
12,25,,3.1549525260925293,
13,27,,,3.3689873218536377
13,27,,3.1529860496520996,
14,29,,,3.366098403930664
14,29,,3.151905059814453,
15,31,,,3.36321759223938
15,31,,3.1497552394866943,
16,33,,,3.361208200454712
16,33,,3.1478078365325928,
17,35,,,3.360011339187622
17,35,,3.1468331813812256,
18,37,,,3.359412908554077
18,37,,3.1459150314331055,
19,39,,,3.359253168106079
19,39,,3.144853115081787,
20,40,3.359253168106079,,
