method,percent_removed,seed,best_val_acc,best_val_loss,test_acc
effective_rank,0,32,,3.319295883178711,
effective_rank,0,64,,2.4475414752960205,
effective_rank,0,128,,2.525691509246826,
effective_rank,10,32,,3.3055880069732666,
effective_rank,10,64,,2.4975643157958984,
effective_rank,10,128,,2.537900686264038,
effective_rank,20,32,,3.321852207183838,
effective_rank,20,64,,2.5367321968078613,
effective_rank,20,128,,2.5292727947235107,
effective_rank,30,32,,2.8456547260284424,
effective_rank,30,64,,2.8643124103546143,
effective_rank,30,128,,2.5152926445007324,
effective_rank,50,32,,3.3292124271392822,
effective_rank,50,64,,2.658705949783325,
effective_rank,50,128,,2.70935320854187,
effective_rank,70,32,,3.316866874694824,
effective_rank,70,64,,3.3019540309906006,
effective_rank,70,128,,2.8615005016326904,
effective_rank,90,32,,3.387147903442383,
effective_rank,90,64,,3.392174482345581,
effective_rank,90,128,,3.359253168106079,
