epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,13,,,,3.335136651992798
0,13,,3.5056698322296143,,
1,27,,,,3.3282220363616943
1,27,,3.319430351257324,,
2,41,,,,3.326857566833496
2,41,,3.415640354156494,,
3,49,,,3.3275747299194336,
3,55,,,,3.324366331100464
3,55,,3.312927484512329,,
4,69,,,,3.3230886459350586
4,69,,3.311324119567871,,
5,83,,,,3.3225595951080322
5,83,,3.310248374938965,,
6,97,,,,3.3212249279022217
6,97,,3.309565305709839,,
7,99,,,3.308305263519287,
7,111,,,,3.31746768951416
7,111,,3.3079872131347656,,
8,125,,,,3.303922414779663
8,125,,3.3009278774261475,,
9,139,,,,3.2514913082122803
9,139,,3.2779276371002197,,
10,149,,,3.1525940895080566,
10,153,,,,3.114973306655884
10,153,,3.1855719089508057,,
11,167,,,,3.0134027004241943
11,167,,3.0712153911590576,,
12,181,,,,2.9336063861846924
12,181,,2.977735996246338,,
13,195,,,,2.8942337036132812
13,195,,2.9224066734313965,,
14,199,,,2.9002652168273926,
14,209,,,,2.861882209777832
14,209,,2.8884921073913574,,
15,223,,,,2.838749647140503
15,223,,2.8606410026550293,,
16,237,,,,2.8238463401794434
16,237,,2.8419203758239746,,
17,249,,,2.829498767852783,
17,251,,,,2.8151614665985107
17,251,,2.8302054405212402,,
18,265,,,,2.8105456829071045
18,265,,2.8237223625183105,,
19,279,,,,2.809483766555786
19,279,,2.821073055267334,,
20,280,2.809483766555786,,,
