epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,4,,,,3.4009008407592773
0,4,,3.991982936859131,,
1,9,,,,3.3971948623657227
1,9,,3.376561164855957,,
2,14,,,,3.332606792449951
2,14,,3.3557615280151367,,
3,19,,,,3.336148262023926
3,19,,3.3420677185058594,,
4,24,,,,3.324547529220581
4,24,,3.331489324569702,,
5,29,,,,3.3342905044555664
5,29,,3.4073805809020996,,
6,34,,,,3.3259470462799072
6,34,,3.329082727432251,,
7,39,,,,3.325223445892334
7,39,,3.3272316455841064,,
8,44,,,,3.3258304595947266
8,44,,3.326725959777832,,
9,49,,,3.320101499557495,
9,49,,,,3.3266191482543945
9,49,,3.3258774280548096,,
10,50,3.3266191482543945,,,
