epoch,step,test_loss,train_loss_epoch,val_loss
0,1,,,4.7528395652771
0,1,,4.0542473793029785,
1,3,,,3.5599703788757324
1,3,,4.428911209106445,
2,5,,,3.3541245460510254
2,5,,3.548264980316162,
3,7,,,3.435204029083252
3,7,,3.3798458576202393,
4,9,,,3.405653715133667
4,9,,3.4354805946350098,
5,11,,,3.345366954803467
5,11,,3.3955776691436768,
6,13,,,3.3365938663482666
6,13,,3.35595703125,
7,15,,,3.343144416809082
7,15,,3.3582570552825928,
8,17,,,3.34451961517334
8,17,,3.3671913146972656,
9,19,,,3.3390748500823975
9,19,,3.3668508529663086,
10,21,,,3.332507610321045
10,21,,3.3581533432006836,
11,23,,,3.3287482261657715
11,23,,3.349612236022949,
12,25,,,3.327671527862549
12,25,,3.34440279006958,
13,27,,,3.3274550437927246
13,27,,3.341736078262329,
14,29,,,3.326890230178833
14,29,,3.3418917655944824,
15,31,,,3.3257217407226562
15,31,,3.3411569595336914,
16,33,,,3.3244471549987793
16,33,,3.340325117111206,
17,35,,,3.323550224304199
17,35,,3.339517116546631,
18,37,,,3.3230361938476562
18,37,,3.3386623859405518,
19,39,,,3.322890043258667
19,39,,3.338412284851074,
20,40,3.322890043258667,,
