epoch,step,test_loss,train_loss_epoch,val_loss
0,1,,,5.202054977416992
0,1,,3.9902727603912354,
1,3,,,3.5756752490997314
1,3,,4.636646747589111,
2,5,,,3.3724303245544434
2,5,,3.564972400665283,
3,7,,,3.3749516010284424
3,7,,3.393293619155884,
4,9,,,3.409749984741211
4,9,,3.396853446960449,
5,11,,,3.371880292892456
5,11,,3.4108150005340576,
6,13,,,3.3407249450683594
6,13,,3.3752989768981934,
7,15,,,3.3355743885040283
7,15,,3.3547635078430176,
8,17,,,3.338503122329712
8,17,,3.3558976650238037,
9,19,,,3.3393075466156006
9,19,,3.3616437911987305,
10,21,,,3.3366432189941406
10,21,,3.361837387084961,
11,23,,,3.3333094120025635
11,23,,3.357758045196533,
12,25,,,3.331230878829956
12,25,,3.3528032302856445,
13,27,,,3.3303940296173096
13,27,,3.3483009338378906,
14,29,,,3.3302974700927734
14,29,,3.346405506134033,
15,31,,,3.3301703929901123
15,31,,3.3451151847839355,
16,33,,,3.329993724822998
16,33,,3.3452582359313965,
17,35,,,3.3297760486602783
17,35,,3.3446872234344482,
18,37,,,3.329617500305176
18,37,,3.3446216583251953,
19,39,,,3.3295679092407227
19,39,,3.3446459770202637,
20,40,3.3295679092407227,,
