epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,13,,,,3.330660820007324
0,13,,3.541867256164551,,
1,27,,,,3.3275439739227295
1,27,,3.363828659057617,,
2,41,,,,3.3087477684020996
2,41,,3.3151233196258545,,
3,49,,,3.291691303253174,
3,55,,,,3.2157421112060547
3,55,,3.2817680835723877,,
4,69,,,,3.1114203929901123
4,69,,3.1639997959136963,,
5,83,,,,3.000483751296997
5,83,,3.0614161491394043,,
6,97,,,,2.9496407508850098
6,97,,2.978560447692871,,
7,99,,,2.949049472808838,
7,111,,,,2.901752471923828
7,111,,2.9310193061828613,,
8,125,,,,2.8576974868774414
8,125,,2.8867721557617188,,
9,139,,,,2.8165507316589355
9,139,,2.847667694091797,,
10,149,,,2.7948877811431885,
10,153,,,,2.7682859897613525
10,153,,2.807971954345703,,
11,167,,,,2.732970952987671
11,167,,2.7667274475097656,,
12,181,,,,2.699462890625
12,181,,2.7340469360351562,,
13,195,,,,2.6729793548583984
13,195,,2.705439805984497,,
14,199,,,2.695333480834961,
14,209,,,,2.6532979011535645
14,209,,2.682833671569824,,
15,223,,,,2.6393802165985107
15,223,,2.666666030883789,,
16,237,,,,2.631687879562378
16,237,,2.65535569190979,,
17,249,,,2.653430223464966,
17,251,,,,2.6261396408081055
17,251,,2.6474897861480713,,
18,265,,,,2.623887777328491
18,265,,2.643641233444214,,
19,279,,,,2.623197078704834
19,279,,2.6423404216766357,,
20,280,2.623197078704834,,,
