epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,7,,,,3.41560435295105
0,7,,3.7323567867279053,,
1,15,,,,3.3462064266204834
1,15,,3.367171049118042,,
2,23,,,,3.312480926513672
2,23,,3.338052749633789,,
3,31,,,,3.3122763633728027
3,31,,3.312413215637207,,
4,39,,,,3.2256972789764404
4,39,,3.293701410293579,,
5,47,,,,3.1161017417907715
5,47,,3.1909613609313965,,
6,49,,,3.1015119552612305,
6,55,,,,3.0278711318969727
6,55,,3.0743801593780518,,
7,63,,,,2.9753072261810303
7,63,,3.0027365684509277,,
8,71,,,,2.9224984645843506
8,71,,2.951785087585449,,
9,79,,,,2.84785532951355
9,79,,2.8958182334899902,,
10,87,,,,2.7886416912078857
10,87,,2.8308258056640625,,
11,95,,,,2.7317302227020264
11,95,,2.7714614868164062,,
12,99,,,2.7316768169403076,
12,103,,,,2.7016866207122803
12,103,,2.728165864944458,,
13,111,,,,2.6812477111816406
13,111,,2.702512741088867,,
14,119,,,,2.6679794788360596
14,119,,2.6848888397216797,,
15,127,,,,2.6574056148529053
15,127,,2.6733312606811523,,
16,135,,,,2.6491475105285645
16,135,,2.665273427963257,,
17,143,,,,2.6451780796051025
17,143,,2.660007953643799,,
18,149,,,2.648263692855835,
18,151,,,,2.6434905529022217
18,151,,2.656846046447754,,
19,159,,,,2.642951726913452
19,159,,2.655816078186035,,
20,160,2.642951726913452,,,
