epoch,step,test_loss,train_loss_epoch,val_loss
0,1,,,4.707351207733154
0,1,,4.045895576477051,
1,3,,,3.530866861343384
1,3,,4.358994960784912,
2,5,,,3.3426313400268555
2,5,,3.510620355606079,
3,7,,,3.4132564067840576
3,7,,3.375290870666504,
4,9,,,3.3812618255615234
4,9,,3.427500009536743,
5,11,,,3.334630250930786
5,11,,3.387805223464966,
6,13,,,3.3320438861846924
6,13,,3.3538930416107178,
7,15,,,3.3405354022979736
7,15,,3.356292724609375,
8,17,,,3.3411471843719482
8,17,,3.364450216293335,
9,19,,,3.332975149154663
9,19,,3.3633921146392822,
10,21,,,3.323514938354492
10,21,,3.354372501373291,
11,23,,,3.317836284637451
11,23,,3.3456263542175293,
12,25,,,3.3154819011688232
12,25,,3.3403570652008057,
13,27,,,3.3142385482788086
13,27,,3.3378288745880127,
14,29,,,3.31290340423584
14,29,,3.3368194103240967,
15,31,,,3.3113131523132324
15,31,,3.3354337215423584,
16,33,,,3.309873580932617
16,33,,3.3343124389648438,
17,35,,,3.3088457584381104
17,35,,3.332632541656494,
18,37,,,3.308295488357544
18,37,,3.3318426609039307,
19,39,,,3.3081462383270264
19,39,,3.331583023071289,
20,40,3.3081462383270264,,
