epoch,step,test_loss,train_loss_epoch,val_loss
0,1,,,3.9978444576263428
0,1,,4.006506443023682,
1,3,,,3.485431432723999
1,3,,3.8876399993896484,
2,5,,,3.357478141784668
2,5,,3.4851505756378174,
3,7,,,3.344177484512329
3,7,,3.375056505203247,
4,9,,,3.3679327964782715
4,9,,3.368102550506592,
5,11,,,3.354020595550537
5,11,,3.3837242126464844,
6,13,,,3.334904670715332
6,13,,3.368849754333496,
7,15,,,3.329221487045288
7,15,,3.354897975921631,
8,17,,,3.3310306072235107
8,17,,3.352259397506714,
9,19,,,3.3327407836914062
9,19,,3.353750467300415,
10,21,,,3.3321774005889893
10,21,,3.354949951171875,
11,23,,,3.3298745155334473
11,23,,3.3531017303466797,
12,25,,,3.327270746231079
12,25,,3.3501763343811035,
13,27,,,3.3254709243774414
13,27,,3.347705602645874,
14,29,,,3.324633836746216
14,29,,3.3459434509277344,
15,31,,,3.3239316940307617
15,31,,3.345576286315918,
16,33,,,3.3238604068756104
16,33,,3.3449625968933105,
17,35,,,3.3234941959381104
17,35,,3.344595193862915,
18,37,,,3.323478937149048
18,37,,3.3446850776672363,
19,39,,,3.3234612941741943
19,39,,3.344475269317627,
20,40,3.3234612941741943,,
