epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,15,,,,3.3375492095947266
0,15,,3.4899072647094727,,
1,31,,,,3.3207666873931885
1,31,,3.32159423828125,,
2,47,,,,3.325887680053711
2,47,,3.384263277053833,,
3,49,,,3.3070342540740967,
3,63,,,,3.323373794555664
3,63,,3.3155159950256348,,
4,79,,,,3.32242488861084
4,79,,3.314204454421997,,
5,95,,,,3.3224387168884277
5,95,,3.3138678073883057,,
6,99,,,3.308634042739868,
6,111,,,,3.3221304416656494
6,111,,3.313474655151367,,
7,112,3.3221304416656494,,,
