epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,7,,,,3.3972225189208984
0,7,,3.6377575397491455,,
1,15,,,,3.3534464836120605
1,15,,3.2938249111175537,,
2,23,,,,3.318758487701416
2,23,,3.2694523334503174,,
3,31,,,,3.282992124557495
3,31,,3.244173765182495,,
4,39,,,,3.194859027862549
4,39,,3.1868784427642822,,
5,47,,,,3.101317882537842
5,47,,3.107893943786621,,
6,49,,,3.0393714904785156,
6,55,,,,3.001051425933838
6,55,,3.017001152038574,,
7,63,,,,2.914548635482788
7,63,,2.9214255809783936,,
8,71,,,,2.8451614379882812
8,71,,2.8535890579223633,,
9,79,,,,2.8012583255767822
9,79,,2.797365427017212,,
10,87,,,,2.7528982162475586
10,87,,2.750204563140869,,
11,95,,,,2.7144322395324707
11,95,,2.7091543674468994,,
12,99,,,2.66964054107666,
12,103,,,,2.688600778579712
12,103,,2.681478977203369,,
13,111,,,,2.6712770462036133
13,111,,2.6615593433380127,,
14,119,,,,2.658278465270996
14,119,,2.6475462913513184,,
15,127,,,,2.6487109661102295
15,127,,2.6381893157958984,,
16,135,,,,2.6430864334106445
16,135,,2.631134510040283,,
17,143,,,,2.6400880813598633
17,143,,2.627131223678589,,
18,149,,,2.628885269165039,
18,151,,,,2.638505458831787
18,151,,2.6250271797180176,,
19,159,,,,2.6380977630615234
19,159,,2.62423038482666,,
20,160,2.6380977630615234,,,
