epoch,step,test_loss,train_loss_epoch,val_loss
0,1,,,3.9873716831207275
0,1,,3.9672744274139404,
1,3,,,3.4868810176849365
1,3,,3.785259246826172,
2,5,,,3.368494749069214
2,5,,3.366445302963257,
3,7,,,3.372750997543335
3,7,,3.26202654838562,
4,9,,,3.3969762325286865
4,9,,3.2657151222229004,
5,11,,,3.382262706756592
5,11,,3.2756707668304443,
6,13,,,3.3693740367889404
6,13,,3.257904052734375,
7,15,,,3.3666903972625732
7,15,,3.247047185897827,
8,17,,,3.36446475982666
8,17,,3.247283935546875,
9,19,,,3.360024929046631
9,19,,3.247892379760742,
10,21,,,3.354116439819336
10,21,,3.246584177017212,
11,23,,,3.348320722579956
11,23,,3.2434699535369873,
12,25,,,3.344672203063965
12,25,,3.2401113510131836,
13,27,,,3.3425076007843018
13,27,,3.2378768920898438,
14,29,,,3.341350793838501
14,29,,3.2363572120666504,
15,31,,,3.340951442718506
15,31,,3.2356226444244385,
16,33,,,3.3405423164367676
16,33,,3.2353720664978027,
17,35,,,3.3404083251953125
17,35,,3.234630584716797,
18,37,,,3.3403196334838867
18,37,,3.234590768814087,
19,39,,,3.340291976928711
19,39,,3.2344717979431152,
20,40,3.340291976928711,,
