epoch,step,test_loss,train_loss_epoch,val_loss
0,1,,,4.293153762817383
0,1,,3.961672306060791,
1,3,,,3.3990747928619385
1,3,,3.904104471206665,
2,5,,,3.369630813598633
2,5,,3.299964427947998,
3,7,,,3.3991196155548096
3,7,,3.2743592262268066,
4,9,,,3.3788065910339355
4,9,,3.281480073928833,
5,11,,,3.3657748699188232
5,11,,3.2565202713012695,
6,13,,,3.3670246601104736
6,13,,3.246262550354004,
7,15,,,3.364089012145996
7,15,,3.2491488456726074,
8,17,,,3.354294538497925
8,17,,3.249019145965576,
9,19,,,3.3437201976776123
9,19,,3.243039131164551,
10,21,,,3.336656093597412
10,21,,3.2354202270507812,
11,23,,,3.332411289215088
11,23,,3.2309608459472656,
12,25,,,3.3292782306671143
12,25,,3.2274816036224365,
13,27,,,3.4232964515686035
13,27,,3.2247180938720703,
14,29,,,3.3295695781707764
14,29,,3.225102663040161,
15,31,,,3.330777406692505
15,31,,3.224729299545288,
16,33,,,3.330740213394165
16,33,,3.225811243057251,
17,35,,,3.330293655395508
17,35,,3.2256019115448,
18,36,3.330293655395508,,
