method,percent_removed,seed,best_val_acc,best_val_loss,test_acc
llm_classifier,0,32,,3.3207666873931885,
llm_classifier,0,64,,2.447056293487549,
llm_classifier,0,128,,2.411950826644897,
llm_classifier,10,32,,2.621198892593384,
llm_classifier,10,64,,2.7293477058410645,
llm_classifier,10,128,,2.488001585006714,
llm_classifier,20,32,,3.2526755332946777,
llm_classifier,20,64,,2.971012830734253,
llm_classifier,20,128,,2.509408950805664,
llm_classifier,30,32,,2.959207534790039,
llm_classifier,30,64,,2.888267993927002,
llm_classifier,30,128,,2.610710382461548,
llm_classifier,50,32,,3.3266403675079346,
llm_classifier,50,64,,2.629305124282837,
llm_classifier,50,128,,2.6380977630615234,
llm_classifier,70,32,,3.1508901119232178,
llm_classifier,70,64,,3.0293080806732178,
llm_classifier,70,128,,3.314117193222046,
llm_classifier,90,32,,3.340291976928711,
llm_classifier,90,64,,3.3292782306671143,
llm_classifier,90,128,,3.311173915863037,
