epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,15,,,,3.338505506515503
0,15,,3.5119757652282715,,
1,31,,,,3.324347496032715
1,31,,3.323220729827881,,
2,47,,,,3.321362257003784
2,47,,3.3142600059509277,,
3,49,,,3.3042192459106445,
3,63,,,,3.3118131160736084
3,63,,3.3104963302612305,,
4,79,,,,3.221059799194336
4,79,,3.2830770015716553,,
5,95,,,,3.078883647918701
5,95,,3.1551718711853027,,
6,99,,,3.0439302921295166,
6,111,,,,2.967578172683716
6,111,,3.0180017948150635,,
7,127,,,,2.906773090362549
7,127,,2.9487767219543457,,
8,143,,,,2.798305034637451
8,143,,2.873412609100342,,
9,149,,,2.7932043075561523,
9,159,,,,2.7078237533569336
9,159,,2.776332378387451,,
10,175,,,,2.6588828563690186
10,175,,2.7045037746429443,,
11,191,,,,2.6257171630859375
11,191,,2.6636829376220703,,
12,199,,,2.634702682495117,
12,207,,,,2.5990490913391113
12,207,,2.635387897491455,,
13,223,,,,2.5795133113861084
13,223,,2.6120831966400146,,
14,239,,,,2.566575765609741
14,239,,2.5952982902526855,,
15,249,,,2.5843489170074463,
15,255,,,,2.5585246086120605
15,255,,2.5834765434265137,,
16,271,,,,2.552767038345337
16,271,,2.576221466064453,,
17,287,,,,2.548875331878662
17,287,,2.5710389614105225,,
18,299,,,2.568942070007324,
18,303,,,,2.5476999282836914
18,303,,2.5691421031951904,,
19,319,,,,2.5469095706939697
19,319,,2.568136692047119,,
20,320,2.5469095706939697,,,
