epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,13,,,,3.333203077316284
0,13,,3.519913911819458,,
1,27,,,,3.3290183544158936
1,27,,3.304192304611206,,
2,41,,,,3.321688652038574
2,41,,3.297483205795288,,
3,49,,,3.281184196472168,
3,55,,,,3.305677890777588
3,55,,3.290937662124634,,
4,69,,,,3.1723926067352295
4,69,,3.2356228828430176,,
5,83,,,,3.0499391555786133
5,83,,3.1020350456237793,,
6,97,,,,2.939941883087158
6,97,,2.979067802429199,,
7,99,,,2.918224811553955,
7,111,,,,2.816847085952759
7,111,,2.866960287094116,,
8,125,,,,2.7243552207946777
8,125,,2.7694268226623535,,
9,139,,,,2.663814067840576
9,139,,2.695265769958496,,
10,149,,,2.635223865509033,
10,153,,,,2.617006301879883
10,153,,2.64436936378479,,
11,167,,,,2.5830295085906982
11,167,,2.6035144329071045,,
12,181,,,,2.5611460208892822
12,181,,2.5759289264678955,,
13,195,,,,2.5467488765716553
13,195,,2.5573768615722656,,
14,199,,,2.5446863174438477,
14,209,,,,2.5367801189422607
14,209,,2.545311212539673,,
15,223,,,,2.529916763305664
15,223,,2.5367586612701416,,
16,237,,,,2.525785446166992
16,237,,2.531060218811035,,
17,249,,,2.525765895843506,
17,251,,,,2.5228500366210938
17,251,,2.5271453857421875,,
18,265,,,,2.52179217338562
18,265,,2.525377035140991,,
19,279,,,,2.521365165710449
19,279,,2.5245213508605957,,
20,280,2.521365165710449,,,
