epoch,step,test_loss,train_loss_epoch,val_loss
0,1,,,4.283810138702393
0,1,,4.000176906585693,
1,3,,,3.4276435375213623
1,3,,3.9174654483795166,
2,5,,,3.3955111503601074
2,5,,3.2282826900482178,
3,7,,,3.3991169929504395
3,7,,3.2182302474975586,
4,9,,,3.363771438598633
4,9,,3.208629608154297,
5,11,,,3.368475914001465
5,11,,3.177917242050171,
6,13,,,3.378789186477661
6,13,,3.1776070594787598,
7,15,,,3.375354766845703
7,15,,3.1807940006256104,
8,17,,,3.3617026805877686
8,17,,3.174746513366699,
9,19,,,3.348673105239868
9,19,,3.162095069885254,
10,21,,,3.388231039047241
10,21,,3.1531152725219727,
11,23,,,3.335986375808716
11,23,,3.15531849861145,
12,25,,,3.5371499061584473
12,25,,3.1436686515808105,
13,27,,,3.322741985321045
13,27,,3.1312673091888428,
14,29,,,3.319916009902954
14,29,,3.1333367824554443,
15,31,,,3.314487934112549
15,31,,3.1291491985321045,
16,33,,,3.3084306716918945
16,33,,3.1244211196899414,
17,35,,,3.303539991378784
17,35,,3.1194989681243896,
18,37,,,3.3007326126098633
18,37,,3.1154372692108154,
19,39,,,3.299879312515259
19,39,,3.1134438514709473,
20,40,3.299879312515259,,
