epoch,step,test_loss,train_loss_epoch,val_loss
0,1,,,4.137946605682373
0,1,,3.9439427852630615,
1,3,,,3.390007972717285
1,3,,3.754657745361328,
2,5,,,3.3886544704437256
2,5,,3.223660707473755,
3,7,,,3.3978171348571777
3,7,,3.212125062942505,
4,9,,,3.3750646114349365
4,9,,3.2027578353881836,
5,11,,,3.370210647583008
5,11,,3.178143262863159,
6,13,,,4.279995918273926
6,13,,3.1735408306121826,
7,15,,,3.379303455352783
7,15,,3.35371732711792,
8,17,,,3.376850128173828
8,17,,3.1798489093780518,
9,19,,,3.3705427646636963
9,19,,3.1773874759674072,
10,21,,,3.364955425262451
10,21,,3.1728482246398926,
11,23,,,3.3615593910217285
11,23,,3.1689302921295166,
12,25,,,3.3597681522369385
12,25,,3.1670970916748047,
13,27,,,3.3589560985565186
13,27,,3.166231870651245,
14,29,,,3.358379364013672
14,29,,3.16666316986084,
15,31,,,3.3578994274139404
15,31,,3.166306495666504,
16,33,,,3.3575589656829834
16,33,,3.166348457336426,
17,35,,,3.357335329055786
17,35,,3.166254758834839,
18,37,,,3.357217788696289
18,37,,3.1660690307617188,
19,39,,,3.357174873352051
19,39,,3.165955066680908,
20,40,3.357174873352051,,
