epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,15,,,,3.352202892303467
0,15,,3.539687156677246,,
1,31,,,,3.3015873432159424
1,31,,3.3160810470581055,,
2,47,,,,3.1911137104034424
2,47,,3.261528253555298,,
3,49,,,3.169161319732666,
3,63,,,,3.0451059341430664
3,63,,3.127145528793335,,
4,79,,,,2.9652390480041504
4,79,,2.9987685680389404,,
5,95,,,,2.922077178955078
5,95,,2.9482316970825195,,
6,99,,,2.919201135635376,
6,111,,,,2.8850390911102295
6,111,,2.9170281887054443,,
7,127,,,,2.8263649940490723
7,127,,2.869274377822876,,
8,143,,,,2.727567434310913
8,143,,2.8026390075683594,,
9,149,,,2.7178151607513428,
9,159,,,,2.6588246822357178
9,159,,2.713547468185425,,
10,175,,,,2.620774745941162
10,175,,2.6611168384552,,
11,191,,,,2.590148687362671
11,191,,2.626225471496582,,
12,199,,,2.5970091819763184,
12,207,,,,2.564845561981201
12,207,,2.599757671356201,,
13,223,,,,2.5453832149505615
13,223,,2.578730344772339,,
14,239,,,,2.5317842960357666
14,239,,2.5636701583862305,,
15,249,,,2.559298515319824,
15,255,,,,2.5246193408966064
15,255,,2.554941415786743,,
16,271,,,,2.5205938816070557
16,271,,2.5478601455688477,,
17,287,,,,2.5162460803985596
17,287,,2.543910264968872,,
18,299,,,2.5331220626831055,
18,303,,,,2.5157089233398438
18,303,,2.5416910648345947,,
19,319,,,,2.515167713165283
19,319,,2.5407216548919678,,
20,320,2.515167713165283,,,
