epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,12,,,,3.3395256996154785
0,12,,3.5268561840057373,,
1,25,,,,3.325537919998169
1,25,,3.324338436126709,,
2,38,,,,3.3301279544830322
2,38,,3.334768056869507,,
3,49,,,3.3131906986236572,
3,51,,,,3.3235514163970947
3,51,,3.316641330718994,,
4,64,,,,3.322861671447754
4,64,,3.3141822814941406,,
5,77,,,,3.323307752609253
5,77,,3.313629627227783,,
6,90,,,,3.322402238845825
6,90,,3.313570022583008,,
7,99,,,3.31276798248291,
7,103,,,,3.322765827178955
7,103,,3.313453197479248,,
8,116,,,,3.3226306438446045
8,116,,3.3133230209350586,,
9,129,,,,3.3218600749969482
9,129,,3.3131306171417236,,
10,142,,,,3.3219845294952393
10,142,,3.3127799034118652,,
11,149,,,3.306422710418701,
11,155,,,,3.321384906768799
11,155,,3.3125619888305664,,
12,168,,,,3.321274995803833
12,168,,3.312260389328003,,
13,181,,,,3.320791721343994
13,181,,3.3119864463806152,,
14,194,,,,3.3205013275146484
14,194,,3.311570882797241,,
15,199,,,3.302534818649292,
15,207,,,,3.320011615753174
15,207,,3.3111188411712646,,
16,220,,,,3.319612741470337
16,220,,3.310882806777954,,
17,233,,,,3.3194990158081055
17,233,,3.3106606006622314,,
18,246,,,,3.3194687366485596
18,246,,3.310469627380371,,
19,249,,,3.3034141063690186,
19,259,,,,3.3194377422332764
19,259,,3.3104465007781982,,
20,260,3.3194377422332764,,,
