epoch,step,test_loss,train_loss_epoch,val_loss
0,1,,,4.457991123199463
0,1,,4.0339884757995605,
1,3,,,3.464045763015747
1,3,,4.1419997215271,
2,5,,,3.3517065048217773
2,5,,3.411266803741455,
3,7,,,3.399902582168579
3,7,,3.3495593070983887,
4,9,,,3.3510804176330566
4,9,,3.3757998943328857,
5,11,,,3.331925392150879
5,11,,3.331918954849243,
6,13,,,3.338754177093506
6,13,,3.3188202381134033,
7,15,,,3.343189239501953
7,15,,3.3246326446533203,
8,17,,,3.3367080688476562
8,17,,3.326343059539795,
9,19,,,3.325854539871216
9,19,,3.319596529006958,
10,21,,,3.3184685707092285
10,21,,3.309577465057373,
11,23,,,3.315622568130493
11,23,,3.304598808288574,
12,25,,,3.314069986343384
12,25,,3.3023715019226074,
13,27,,,3.3121535778045654
13,27,,3.3008058071136475,
14,29,,,3.310065984725952
14,29,,3.299258232116699,
15,31,,,3.3081235885620117
15,31,,3.297701120376587,
16,33,,,3.3064515590667725
16,33,,3.2957916259765625,
17,35,,,3.305294990539551
17,35,,3.294128656387329,
18,37,,,3.3046839237213135
18,37,,3.293600082397461,
19,39,,,3.3045108318328857
19,39,,3.293046236038208,
20,40,3.3045108318328857,,
