epoch,step,test_loss,train_loss_epoch,val_loss
0,1,,,3.994053363800049
0,1,,3.9928138256073,
1,3,,,3.4821290969848633
1,3,,3.84908390045166,
2,5,,,3.356416702270508
2,5,,3.441953182220459,
3,7,,,3.347033977508545
3,7,,3.3364310264587402,
4,9,,,3.3686983585357666
4,9,,3.334573745727539,
5,11,,,3.353254556655884
5,11,,3.3473029136657715,
6,13,,,3.337169647216797
6,13,,3.3309242725372314,
7,15,,,3.333730697631836
7,15,,3.318912982940674,
8,17,,,3.334925889968872
8,17,,3.3177056312561035,
9,19,,,3.3341665267944336
9,19,,3.3193953037261963,
10,21,,,3.331557035446167
10,21,,3.3193278312683105,
11,23,,,3.3281357288360596
11,23,,3.3169853687286377,
12,25,,,3.325700521469116
12,25,,3.3138961791992188,
13,27,,,3.3242576122283936
13,27,,3.3112356662750244,
14,29,,,3.3236234188079834
14,29,,3.3097400665283203,
15,31,,,3.323166847229004
15,31,,3.3093154430389404,
16,33,,,3.323279857635498
16,33,,3.3088669776916504,
17,35,,,3.322969913482666
17,35,,3.308990478515625,
18,37,,,3.3228919506073
18,37,,3.308872938156128,
19,39,,,3.322875499725342
19,39,,3.308990240097046,
20,40,3.322875499725342,,
