method,percent_removed,seed,best_val_acc,best_val_loss,test_acc
random,0,32,,3.320908308029175,
random,0,64,,2.588649034500122,
random,0,128,,2.515167713165283,
random,10,32,,2.637068271636963,
random,10,64,,2.759387969970703,
random,10,128,,2.5010287761688232,
random,20,32,,3.3194377422332764,
random,20,64,,2.773681402206421,
random,20,128,,2.521690368652344,
random,30,32,,2.802072525024414,
random,30,64,,3.318974733352661,
random,30,128,,2.584937334060669,
random,50,32,,3.321496725082397,
random,50,64,,3.12221097946167,
random,50,128,,2.7395224571228027,
random,70,32,,3.317370891571045,
random,70,64,,3.3098244667053223,
random,70,128,,2.9698638916015625,
random,90,32,,3.322875499725342,
random,90,64,,3.314561128616333,
random,90,128,,3.3045108318328857,
