epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,15,,,,3.336428642272949
0,15,,3.4887216091156006,,
1,31,,,,3.3195974826812744
1,31,,3.3214125633239746,,
2,47,,,,3.3249611854553223
2,47,,3.317422866821289,,
3,49,,,3.317779064178467,
3,63,,,,3.322533130645752
3,63,,3.314605236053467,,
4,79,,,,3.3221404552459717
4,79,,3.3137497901916504,,
5,95,,,,3.32125186920166
5,95,,3.313411235809326,,
6,99,,,3.3130249977111816,
6,111,,,,3.3189823627471924
6,111,,3.3121023178100586,,
7,127,,,,3.3088185787200928
7,127,,3.3080596923828125,,
8,143,,,,3.214169502258301
8,143,,3.2774252891540527,,
9,149,,,3.154818534851074,
9,159,,,,3.105335235595703
9,159,,3.1525678634643555,,
10,175,,,,2.9670896530151367
10,175,,3.052144765853882,,
11,191,,,,2.8985254764556885
11,191,,2.949406147003174,,
12,199,,,2.89697527885437,
12,207,,,,2.833339214324951
12,207,,2.8847057819366455,,
13,223,,,,2.7780094146728516
13,223,,2.825777053833008,,
14,239,,,,2.73931622505188
14,239,,2.781291961669922,,
15,249,,,2.7410104274749756,
15,255,,,,2.712507486343384
15,255,,2.747629404067993,,
16,271,,,,2.6977710723876953
16,271,,2.726501703262329,,
17,287,,,,2.689018487930298
17,287,,2.715294361114502,,
18,299,,,2.704953670501709,
18,303,,,,2.6853702068328857
18,303,,2.7088375091552734,,
19,319,,,,2.6842727661132812
19,319,,2.705885171890259,,
20,320,2.6842727661132812,,,
