epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,4,,,,3.3791897296905518
0,4,,3.9093217849731445,,
1,9,,,,3.3679609298706055
1,9,,3.3201141357421875,,
2,14,,,,3.355978012084961
2,14,,3.283378839492798,,
3,19,,,,3.3283894062042236
3,19,,3.2860984802246094,,
4,24,,,,3.3244550228118896
4,24,,3.264345645904541,,
5,29,,,,3.3006749153137207
5,29,,3.257065773010254,,
6,34,,,,3.31581449508667
6,34,,3.263465642929077,,
7,39,,,,3.3011040687561035
7,39,,3.249981641769409,,
8,44,,,,3.292141914367676
8,44,,3.239483118057251,,
9,49,,,3.2181267738342285,
9,49,,,,3.2768397331237793
9,49,,3.2276933193206787,,
10,54,,,,3.257972240447998
10,54,,3.2097456455230713,,
11,59,,,,3.23553204536438
11,59,,3.1902525424957275,,
12,64,,,,3.2163243293762207
12,64,,3.1693685054779053,,
13,69,,,,3.2032437324523926
13,69,,3.151589870452881,,
14,74,,,,3.195188283920288
14,74,,3.1390275955200195,,
15,79,,,,3.189920663833618
15,79,,3.1314103603363037,,
16,84,,,,3.186561346054077
16,84,,3.1267669200897217,,
17,89,,,,3.1845364570617676
17,89,,3.1236188411712646,,
18,94,,,,3.1836049556732178
18,94,,3.1222147941589355,,
19,99,,,3.124910354614258,
19,99,,,,3.1833536624908447
19,99,,3.121267318725586,,
20,100,3.1833536624908447,,,
