epoch,step,test_loss,train_loss_epoch,val_loss
0,1,,,4.543685436248779
0,1,,4.035179138183594,
1,3,,,3.514207124710083
1,3,,4.222193241119385,
2,5,,,3.35481333732605
2,5,,3.4043092727661133,
3,7,,,3.41658878326416
3,7,,3.2859787940979004,
4,9,,,3.384490728378296
4,9,,3.3320374488830566,
5,11,,,3.3426673412323
5,11,,3.2955493927001953,
6,13,,,3.3435070514678955
6,13,,3.264382839202881,
7,15,,,3.3532028198242188
7,15,,3.2674713134765625,
8,17,,,3.3527631759643555
8,17,,3.2753171920776367,
9,19,,,3.343215227127075
9,19,,3.27327823638916,
10,21,,,3.333232879638672
10,21,,3.2644710540771484,
11,23,,,3.3278820514678955
11,23,,3.256575584411621,
12,25,,,3.3263473510742188
12,25,,3.252639055252075,
13,27,,,3.326064348220825
13,27,,3.2521488666534424,
14,29,,,3.3255703449249268
14,29,,3.252089500427246,
15,31,,,3.324777841567993
15,31,,3.251326322555542,
16,33,,,3.323945999145508
16,33,,3.251222610473633,
17,35,,,3.323343515396118
17,35,,3.251049518585205,
18,37,,,3.323012351989746
18,37,,3.25019907951355,
19,39,,,3.322920083999634
19,39,,3.2493667602539062,
20,40,3.322920083999634,,
