epoch,step,test_loss,train_loss_epoch,val_loss
0,1,,,4.410381317138672
0,1,,3.9692325592041016,
1,3,,,3.4240503311157227
1,3,,4.047243118286133,
2,5,,,3.349029302597046
2,5,,3.334120512008667,
3,7,,,3.3861730098724365
3,7,,3.2768404483795166,
4,9,,,3.3750479221343994
4,9,,3.301750898361206,
5,11,,,3.3478891849517822
5,11,,3.2843382358551025,
6,13,,,3.343721866607666
6,13,,3.2630584239959717,
7,15,,,3.345963478088379
7,15,,3.263352155685425,
8,17,,,3.342772960662842
8,17,,3.266733407974243,
9,19,,,3.335099697113037
9,19,,3.264773368835449,
10,21,,,3.3281965255737305
10,21,,3.259270429611206,
11,23,,,3.323956251144409
11,23,,3.253765821456909,
12,25,,,3.3211374282836914
12,25,,3.2507686614990234,
13,27,,,3.320857048034668
13,27,,3.2481939792633057,
14,29,,,3.3209409713745117
14,29,,3.2470219135284424,
15,31,,,3.3204329013824463
15,31,,3.247488260269165,
16,33,,,3.3197696208953857
16,33,,3.246685028076172,
17,35,,,3.319193124771118
17,35,,3.245927095413208,
18,37,,,3.318861722946167
18,37,,3.2453625202178955,
19,39,,,3.3187637329101562
19,39,,3.2450785636901855,
20,40,3.3187637329101562,,
